,User,Date,Tweet
0,erenjea57913231,2022-12-13 19:48:15+00:00,RT @humanityhopeor1: Why were multiple illegal FIR’s filed against my father in your constituency for “freedom of expression?” Do the same…
1,VictorSharma12,2022-12-13 19:48:15+00:00,"RT @POTUS: This morning, we received another reason to be optimistic going into the new year.

We learned that last month inflation came do…"
2,meaza_AG,2022-12-13 19:48:15+00:00,RT @sadilove8: Dear @POTUS ; Abiy &amp; Isaias  are violating all human rights values in their #TigrayGenocide project. On the #USAfricaLeaders…
3,reifer_bello,2022-12-13 19:48:14+00:00,"RT @MissIzquierda: ¡DIPLOMÁTICOS EN PELIGRO!

Alex Saab es un diplomático venezolano debidamente acreditado por el gobierno de Venezuela, a…"
4,SeluShare,2022-12-13 19:48:14+00:00,"RT @WediGebremicha1: What is world waiting for? is humanity alive anymore?

If so we urge @IntlCrimCourt @UN @coe
@_AfricanUnion @EUCouncil…"
5,PaulStewartII,2022-12-13 19:48:14+00:00,"RT @POTUS: This morning, we received another reason to be optimistic going into the new year.

We learned that last month inflation came do…"
6,AS7882R,2022-12-13 19:48:14+00:00,@POTUS Just deceiving the people. This was their true right &amp; nothing new to be surprised.
7,SeluShare,2022-12-13 19:48:14+00:00,"RT @alexanderglesh1: #UNSCActNow !?
.@amnesty reports the mass execution Eritrean troops went on a rampage and killed hundreds.What about N…"
8,DrEvil3000,2022-12-13 19:48:14+00:00,@mutrixfe @StopAntisemites @IsraelWarRoom @K_JeanPierre @POTUS @SecondGentleman @RashidaTlaib @RepRashida @Ilhan @IlhanMN Who’s the hater now. 😂
9,Brad_Edwards1,2022-12-13 19:48:13+00:00,@POTUS Really enjoying $8 12 pack of @pepsi and @CocaCola
10,AsadSHAM2,2022-12-13 19:48:13+00:00,RT @humanityhopeor1: Why were multiple illegal FIR’s filed against my father in your constituency for “freedom of expression?” Do the same…
11,selu_su2,2022-12-13 19:48:13+00:00,"RT @susutigraweit: Between Nov,17 &amp; 25, 111 civilians were killed &amp; 103 injured by the Eritrean forces, according to a report produced by @…"
12,LadyGothics,2022-12-13 19:48:13+00:00,"@BradleyJardis @R_D_Sanchez_III @ElAmigoAZ @LPNational @POTUS Well, since that's never been an option, there's no going back, only forward. Plus, honestly, what would any of us do with a nuke? No matter how we ever used it, it'd be the end of our lives, too."
13,awtach,2022-12-13 19:48:13+00:00,RT @AberahmYodit: Dear @POTUS ; Abiy &amp; Isaias  are violating all human rights values in their #TigrayGenocide project. On the #USAfricaLead…
14,ZeruTesema,2022-12-13 19:48:13+00:00,"RT @Leti_Tade: #SanctionEthiopia for war crimes against humanity civilians are dying Six 

#USAfricaLeadersSummit22 

@POTUS @SecBlinken @S…"
15,KotikovDmitrij,2022-12-13 19:48:13+00:00,"@Podolyak_M @elonmusk @BBCWorld @BBCNews @BBCBreaking @EuromaidanPress @DeutscheWelle @guardian @guardiannews @Reuters @CNN @cnnbrk @washingtonpost @nytimes @NBCNews @abcnews @CBCNews @apmassaro3 @POTUS @OlafScholz @JosepBorrellF @vonderleyen 

#ATACMS
#RussiaIsATerroristState 

@elonmusk ???"
16,werki_tdf,2022-12-13 19:48:13+00:00,"RT @ZAlemayu: Dear @POTUS;InTigray For the past
 2years,7million ppl have been exposed to drone attacks,SGBV,looted medical facilities,ethn…"
17,MarcObi97619232,2022-12-13 19:48:13+00:00,RT @ChinasaNworu: #Biafrans Watch this and put  this clip in your archives for record purposes. @real_IpobDOS @mfa_russia @ForeignAffairs @…
18,Heav_en1,2022-12-13 19:48:12+00:00,"RT @MesiGalTigray6: Dear @POTUS;  
#Ethiopia &amp; Eritrea are  responsible for a wide range of human rights violations under the African Chart…"
19,OglyFederico,2022-12-13 19:48:12+00:00,"@Hesch6Jim @POTUS So, now it's more explicit and inclusive
It doesn't affect me, but it certainly protects the people that felt not protected enough
I'm happy for them"
20,SelamT30,2022-12-13 19:48:12+00:00,"RT @standup4tigray_: Dear @POTUS ;
The #USAfricaLeadersSummit22 must prioritize humanity. Tigray is being denied basic services.
#US &amp; #AU…"
21,desitay1,2022-12-13 19:48:12+00:00,"RT @gwalitomi: Tigray War has received 368,000 stories in media globally over TWO years, @lizzyshackelfor said. Meanwhile, since just Febru…"
22,CBartenbach,2022-12-13 19:48:12+00:00,@ph_reporterpool @realDonaldTrump @POTUS 😅👍
23,KMayliham,2022-12-13 19:48:12+00:00,"RT @haddis_simret: “I want the world to hear my story &amp; Tigray’s women's story,hear our cries
⚠️We need medical &amp;psychological assistance u…"
24,brhan50964202,2022-12-13 19:48:12+00:00,RT @Lemlem15829676: 👉‼️The on-going 7️⃣6️⃣6️⃣DaysOfTigrayGenocide by Roman Debotch is coming to Denver Sunday Nov 13!Watch with us as the f…
25,BillyBahati,2022-12-13 19:48:12+00:00,"RT @POTUS: For 75 years, Toys for Tots has brought joy, laughter, and smiles to families and kids across the country.

It's one of the best…"
26,DawitAmanuel19,2022-12-13 19:48:12+00:00,"RT @zewdu_mawcha: &gt;3M in Tigray who R acutely food insecure,including at least hundreds of thousands in Tigray are already facing famine-li…"
27,retirenow59,2022-12-13 19:48:12+00:00,@POTUS People stopped driving
28,CombateAlex,2022-12-13 19:48:11+00:00,"El eurodiputado Manu Pineda también abordó el secuestro de Alex Saab e indicó que la audiencia de este lunes demuestra desprecio de EE.UU. hacia la diplomacia.
#FreeAlexSaab 🌐🇻🇪✊🏼
@StateDept @WhiteHouse @POTUS 
#poupettekenza https://t.co/2sBwfUxYn6"
29,meaza_AG,2022-12-13 19:48:11+00:00,RT @mehari05: Dear @POTUS ; The #USAfricaLeadersSummit22 must prioritize humanity. Tigray is being denied basic services. #US &amp; #AU leaders…
30,awtach,2022-12-13 19:48:11+00:00,"RT @AberahmYodit: @NobelPrize &amp; #AmericanAcademy are giving Golden award to #TheGenociderAbiyAhmed. 
This award contempt to all the ppl of…"
31,meaza_AG,2022-12-13 19:48:11+00:00,"RT @UNAYBOOM06: Ethiopia should be withdraw Eritrean troops &amp; Stop, internments &amp; killings of Tigrayans, but instead #Abiy is encouraging i…"
32,meaza_AG,2022-12-13 19:48:11+00:00,"RT @Eleni2p1p: Dear @POTUS : Abiy Ahmed’s deliberate policy of weaponizing hunger, is a violation of int'l human rights law and contradicts…"
33,jackspringerman,2022-12-13 19:48:11+00:00,@POTUS Trump is a million times better and smarter than you
34,Adam_Cadmon1,2022-12-13 19:48:11+00:00,"RT @POTUS: Americans can see our economic progress while driving down the street, finding relief at the pump as gas prices fall.
 
As they…"
35,biloxiqueen,2022-12-13 19:48:11+00:00,RT @lawyersofcolor: The Senate just confirmed Delaware Supreme Court Justice Tamika R. Montgomery-Reeves by a vote of 53-35 to the US Court…
36,Dale_Lawrence07,2022-12-13 19:48:11+00:00,"RT @RitchieTorres: Last week, I stood by ⁦@SpeakerPelosi⁩ as she signed the Respect for Marriage Act.  

Today, I will have the honor of wi…"
37,z_tsiga,2022-12-13 19:48:10+00:00,"RT @Nyat31786241: Dear @POTUS 
Eritrean troops are still inTigray continuing the killing looting kidnappings of civilians
The #USAfricaLead…"
38,Rdp138,2022-12-13 19:48:10+00:00,"@POTUS And this is more important than the border, what a disgrace.worst president in history"
39,SelamT30,2022-12-13 19:48:10+00:00,"RT @mehari05: Dear @POTUS ; When you invite @PMEthiopia  while,he has failed to End the siege on #Tigray imposed by himself , he has failed…"
40,ncd4jp,2022-12-13 19:48:10+00:00,"RT @POTUS: Today, I sign the Respect for Marriage Act into law – a landmark civil rights bill that honors the courage and sacrifice of gene…"
41,LisaAnsell2,2022-12-13 19:48:09+00:00,RT @redivivis1: @EdLaborGOP @virginiafoxx @POTUS https://t.co/H9wvwlumLI
42,Tdf121227,2022-12-13 19:48:09+00:00,"RT @Nebyat70932666: Ethiopia should be withdraw Eritrean troops &amp; Stop , internments &amp; killings of Tigrayans, but instead #Abiy is encourag…"
43,Jav2theJav,2022-12-13 19:48:09+00:00,@SenatorHagerty @SenateGOP @POTUS Resign
44,SeluShare,2022-12-13 19:48:09+00:00,"RT @Letisha81925310: Dear: @POTUS
🇪🇷|n Soldiers are committing serious human rights violations and abuses, including extrajudicial executio…"
45,raywho52,2022-12-13 19:48:09+00:00,@POTUS You don’t go grocery shopping. Today a dozen eggs cost $4.00.
46,JeanaWells60,2022-12-13 19:48:09+00:00,@SeldenGADawgs @POTUS All for votes only!! Democrats don't care bout nobody but themselves
47,elu_mk,2022-12-13 19:48:08+00:00,RT @Tsegu1221: The U.S. should work with other veto-power-wielding democracies &amp; the AU &amp; its 55 member states to do what is necessary to s…
48,ZeruTesema,2022-12-13 19:48:08+00:00,"RT @Leti_Tade: #SanctionEthiopia for war crimes against humanity! 
@UNHumanRights
#USAfricaLeadersSummit22 
@BradSherman
@POTUS @SecBlinken…"
49,karchevskyka,2022-12-13 19:48:08+00:00,RT @USApoRusski: .@POTUS: Ничего об Украине без Украины. https://t.co/LxVu9WAcm6
50,desitay1,2022-12-13 19:48:08+00:00,"RT @gwalitomi: During #Tigray War, an estimated 600,000 civilians died, compared to 6,555 in #Ukraine. Five million 🇪🇹|ns have been displac…"
51,SelamT30,2022-12-13 19:48:08+00:00,"RT @AberahmYodit: Dear @POTUS ; When you invite @PMEthiopia  while,he has failed to End the siege on #Tigray imposed by himself , he has fa…"
52,selu_su2,2022-12-13 19:48:07+00:00,"RT @meaza_AG: Dear @POTUS; In Tigray For the past
 2 years, 7 million ppl have been exposed to drone attacks, SGBV, looted medical faciliti…"
53,elu_mk,2022-12-13 19:48:07+00:00,"RT @Tsegu1221: The U.S. &amp; its allies in the West are fortifying their relations with many other gov'ts, including authoritarian regimes acc…"
54,werki_tdf,2022-12-13 19:48:07+00:00,"RT @meazaaxum: “Tigray demands Justice""
Why is Z international community watching while Eritrean forces are
⚠️Massacring civilians
⚠️Raping…"
55,LiliGwali,2022-12-13 19:48:07+00:00,"RT @mehari05: Dear @POTUS ; 
Eritrean troops are still in Tigray continuing the  killing ,looting kidnappings of civilians .
The  #USAfrica…"
56,Abadit__hayelom,2022-12-13 19:48:06+00:00,"RT @GueshMela: How is a man who committed genocide rewarded? @POTUS your adminstration shameful !
No respects for international laws and po…"
57,elsapoverde72,2022-12-13 19:48:06+00:00,@POTUS Where are you shopping Mr. President? Nothing is going down where I shop!
58,ItsKatC_45,2022-12-13 19:48:06+00:00,@MysticSpiral_13 @JessicaBanner13 @POTUS @JoeBiden Because he is serving a legitimate sentence for killing two people by driving into them. He is not illegally detained!
59,JoeBee1257,2022-12-13 19:48:06+00:00,"RT @POTUS: This morning, we received another reason to be optimistic going into the new year.

We learned that last month inflation came do…"
60,SelamT30,2022-12-13 19:48:06+00:00,"RT @Mesi25hr: Remember || #TigrayGenocide

Fifteen soldiers raped her over the course of a week, says Eyerus, &amp; know she doesn't know where…"
61,theredman7707,2022-12-13 19:48:06+00:00,@shanejett @deejax66 @POTUS Tbh it's kinda funny to watch people get mad about this.   I know what you trying to do but that verse has absolutely nothing to do with marriage.
62,RichardStLMO,2022-12-13 19:48:06+00:00,"RT @POTUS: If there is one message that breaks through from today, it's that this law – and the love it defends – strikes a blow against ha…"
63,Atkinsonles665,2022-12-13 19:48:05+00:00,"@POTUS You should be,   impeachment impending !"
64,NeneRose56,2022-12-13 19:48:05+00:00,"RT @POTUS: Today, I sign the Respect for Marriage Act into law – a landmark civil rights bill that honors the courage and sacrifice of gene…"
65,Samrawitkalayu7,2022-12-13 19:48:05+00:00,RT @Yohanes45682079: The main reason for president @WilliamsRuto visit to Asmara was to deliver the AU demand that withdrawal of ⤵️ #Eritre…
66,selu_su2,2022-12-13 19:48:05+00:00,RT @meaza_AG: Dear @POTUS  ; 🇪🇹 &amp; #Eritrea was used Rape &amp; siege shamelessly for the last TWO years . Still 🇪🇷 n troops are in #Tigray comm…
67,brhan50964202,2022-12-13 19:48:05+00:00,"RT @Tigrayl6: Dear @POTUS ; 
Eritrean troops are still in Tigray continuing the  killing ,looting kidnappings of civilians .
The  #USAfrica…"
68,Danait70,2022-12-13 19:48:04+00:00,RT @RigatGrmay: Dear @POTUS The #USAfricaLeadersSummit22 must include a meaningful discussion on #TigrayGenocide. The systematic destructio…
69,humblelife62,2022-12-13 19:48:04+00:00,@POTUS https://t.co/1aJ5YhMdWC
70,desitay1,2022-12-13 19:48:04+00:00,"RT @gwalitomi: Dear @_AfricanUnion @UNGeneva
@POTUS @EU_Commission @NATO @SenateForeign When is enough?

Isn't the
🚩Death of +600,000
🚩Rape…"
71,ZerayFera,2022-12-13 19:48:04+00:00,"“I want the world to hear my story &amp; Tigray’s women's story,hear our cries
⚠️We need medical &amp;psychological assistance urgently
⚠️Help us get justice"" said Melat*

So dear @_AfricanUnion @POTUS @UN_Women @eu_echo seek
#Justice4TigraysWomenAndGirls 
@ZerayFera https://t.co/HG8gId8Aep"
72,DianellaNunes,2022-12-13 19:48:04+00:00,@SenSchumer @POTUS Screw diversity. How about qualified people.
73,novel_hadush,2022-12-13 19:48:04+00:00,"RT @MuluDegol: Ethiopia should be withdraw Eritrean troops &amp;Stop , internments &amp; killings of Tigrayans, but instead #Abiy is encouraging it…"
74,SelamT30,2022-12-13 19:48:04+00:00,"RT @HayatiSelam: 😭1/10
Hundreds of thousands of people displaced by conflict in 🇪🇹s Tigray region have gone without health care, food &amp; ele…"
75,LOVE2UNIQUE,2022-12-13 19:48:04+00:00,RT @dw_environment: This is the third time the Keystone pipeline has spill several thousand parerels of crude since it first opened in 2010…
76,Abadit__hayelom,2022-12-13 19:48:04+00:00,RT @GueshMela: @davidvolodzko The shameful of @POTUS leadership rewarded this genocidal man. He is a accountable of  #TigrayGenocide . @Whi…
77,elu_mk,2022-12-13 19:48:03+00:00,"RT @arsu_2222: In his remarks to the 77th Session of the @UN General Assembly on Sept. 21, President @POTUS made a surprising pronouncement…"
78,ZeruTesema,2022-12-13 19:48:03+00:00,"RT @Leti_Tade: Six weeks after the peace deal, the presence of Eritrean troops in Tigray continue. Eritrean troops continue to commit atroc…"
79,AGJJUSDIFFERENT,2022-12-13 19:48:03+00:00,🤯🗣️Beyond rough AM🙌🏾 #DShea @NYPDPC @NYCPBA / THEIR🗣️SPY ASS RETALIATING COINTELPROING CONSPIRING COPS/@NewYorkStateAG @CivilRights DELAYS ARE NO GOOD!THE CORRUPT GOV'T MACHINE IS MACHINING @NYCLU !I seen a🐋 1st time🤯 #AUTOPILOT #3yrs+2LONG #STOPTHEDELAYSANDCOVERUPS @POTUS @VP https://t.co/nOtpKB0qBH
80,JamesPatenaude,2022-12-13 19:48:03+00:00,@GavinNewsom @POTUS @GOPLeader Did she let you watch…?
81,54321Truth,2022-12-13 19:48:03+00:00,"@ADL @POTUS Too bad Jesus did not have the 1st Amendment to protect his speech... 2,000 years later the same people are still banning free speech...  1 Thessalonians 2:14-16"
82,TonyGol22969618,2022-12-13 19:48:03+00:00,@MiaCathell @sues86453 Thanks Joe! @POTUS
83,scquid,2022-12-13 19:48:03+00:00,"RT @jeremymarrell: They started playing love on top at the white house while we wait for @potus to sign the #RespectForMarriageAct. 

My bi…"
84,Luvlylayy,2022-12-13 19:48:03+00:00,RT @POTUS: It isn’t every day that you meet your heroes. https://t.co/RXl5kyWbAW
85,LisaAnsell2,2022-12-13 19:48:03+00:00,"RT @KP4NC: @EdLaborGOP @virginiafoxx @POTUS Well, Virginia is literally taking money from student loan profiteers. 

Why would anyone liste…"
86,SelamT30,2022-12-13 19:48:02+00:00,RT @free_tigr: Dear @POTUS ; Abiy &amp; Isaias  are violating all human rights values in their #TigrayGenocide project. On the #USAfricaLeaders…
87,Heav_en1,2022-12-13 19:48:02+00:00,"RT @RahelGualSeguh: “They need the right post-traumatic care, a platform to speak about their experiences &amp; they need appropriate
🚩Investig…"
88,Agame62567061,2022-12-13 19:48:02+00:00,"RT @tsiondtm: Shame on @POTUS for upraising a genocider. 

Might aswell give him a second @NobelPrize 🤮 https://t.co/MAjGxaFaIa"
89,DawitAmanuel19,2022-12-13 19:48:02+00:00,RT @gebrhiowt_yisak: The on-going#7️⃣6️⃣5️⃣DaysOfTigrayGenocide 💔by Roman Debotch is coming to Denver Sunday Nov 13!Watch with us as the fi…
90,OHAKIANI,2022-12-13 19:48:02+00:00,RT @humanityhopeor1: Why were multiple illegal FIR’s filed against my father in your constituency for “freedom of expression?” Do the same…
91,werki_tdf,2022-12-13 19:48:02+00:00,"RT @anter_gol: Dear @POTUS ;
your leadership should listen to the stories of the victims of #TigrayGenocide and stand by them, #Eritrea &amp; #…"
92,i_descendant,2022-12-13 19:48:01+00:00,@POTUS https://t.co/rxgKV0pGLn
93,Danait70,2022-12-13 19:48:01+00:00,"RT @Lillyanapk: Ethiopia should be withdraw Eritrean troops &amp;Stop, internments &amp; killings of Tigrayans, but instead #Abiy is encouraging it…"
94,TondaSaidWhat,2022-12-13 19:48:01+00:00,"RT @POTUS: Today, I sign the Respect for Marriage Act into law – a landmark civil rights bill that honors the courage and sacrifice of gene…"
95,PeltierHQ,2022-12-13 19:48:00+00:00,"Have you heard Leonard’s voice before today?

UNLOCK the #ColemanPenitentiary doors for our 78yo Elder.

WE OWE IT to Justice and stifle ALL injustices. @LaCasaBlanca @POTUS @FLOTUS @DrBiden @WHCOS

#FreeLeonardPeltier #FreePeltier #RiseUpPeltier

@McKiernanKevin audio interview. https://t.co/vQsQSlRBA2"
96,Whyuliesomuch,2022-12-13 19:48:00+00:00,@ProudElephantUS @POTUS For what? You should ask your parents how many times you were dropped on your head as a child. #MAGAMorons #TraitorsSupportTraitorTrump #GOPClownShow
97,AgamawitM,2022-12-13 19:48:00+00:00,"RT @MengsteabAbraha: Ці ведаюць Амерыканская акадэмія дасягненняў і Кааліцыя глабальнай надзеі, што Абій Ахмед быў аўтарам і выканаўцам рас…"
98,elu_mk,2022-12-13 19:48:00+00:00,RT @arsu_2222: A concrete measure toward the realization of such a major transformation in the U.N. power structure would be for the U.S. t…
99,SelamT30,2022-12-13 19:47:59+00:00,"RT @MEAZI_5: Dear @POTUS;
#Ethiopia &amp; Eritrea are  responsible for a wide range of human rights violations under the African Charter on Hum…"
